Topic,Size,Total Domestic Gross,Total Worldwide Gross
Romance,"2,474","$39,436,051,982 ","$92,616,391,560 "
Direct-to-Video,"1,435","$97,496 ","$218,341,273 "
Dysfunctional Family,"1,434","$25,941,805,123 ","$59,038,578,022 "
Early / Simultaneous Video-on-Demand release,"1,296","$55,479,601 ","$894,552,280 "
Relationships Gone Wrong,"1,032","$14,418,507,507 ","$32,496,818,251 "
Voiceover/Narration,926,"$29,961,359,112 ","$74,895,122,535 "
Biography,865,"$6,946,882,864 ","$13,274,756,131 "
Coming of Age,808,"$11,938,782,386 ","$26,435,022,115 "
Non-Chronological,794,"$26,583,697,832 ","$68,227,457,568 "
Revenge,676,"$20,502,877,207 ","$51,924,329,742 "
Foreign Language,675,"$1,657,509,368 ","$6,980,442,660 "
LGBTQ+,661,"$4,184,954,672 ","$8,604,358,368 "
3-D,553,"$58,734,043,416 ","$169,193,071,137 "
TV Movie,551,"$1,131,797 ","$14,724,250 "
Political,550,"$6,213,772,753 ","$14,003,928,720 "
Surprise Twist,542,"$18,587,538,709 ","$45,398,875,062 "
Musicians,524,"$5,377,911,167 ","$10,757,942,761 "
Religious,495,"$6,678,717,574 ","$13,382,543,238 "
Narcotics,473,"$5,135,896,502 ","$10,127,008,054 "
Directing Yourself,468,"$8,083,473,377 ","$18,464,497,455 "
Animal Lead,432,"$21,121,524,550 ","$54,241,025,515 "
IMAX: DMR,431,"$65,278,210,476 ","$183,754,470,099 "
Film Noir,430,"$9,257,083,030 ","$16,418,234,918 "
Addiction,429,"$5,306,530,728 ","$10,306,322,746 "
War,419,"$10,739,195,599 ","$27,646,720,562 "
Kidnap,418,"$8,013,422,520 ","$18,221,146,288 "
Organized Crime,411,"$7,239,963,369 ","$17,860,973,558 "
Supernatural,400,"$7,690,590,224 ","$18,687,694,188 "
Intertitle,391,"$24,227,070,054 ","$59,902,981,270 "
Infidelity,355,"$3,159,430,740 ","$6,322,998,604 "
World War II,351,"$4,350,242,977 ","$10,419,010,411 "
Mental Illness,347,"$5,076,353,527 ","$10,675,793,913 "
Road Trip,338,"$5,354,005,345 ","$11,337,894,688 "
Prologue,337,"$24,692,709,549 ","$65,995,393,049 "
Writing and Writers,333,"$3,359,978,417 ","$6,731,219,137 "
Young Child Dealing with the Death of a Parent,320,"$8,848,645,003 ","$20,732,608,616 "
Sex Crimes,308,"$2,645,441,923 ","$5,435,686,707 "
African Americans,306,"$7,424,404,659 ","$9,447,669,172 "
Screenplay Written By the Star,304,"$4,124,352,274 ","$8,126,518,630 "
Life in a Small Town,301,"$697,302,756 ","$2,356,447,118 "
Suicide,278,"$2,627,325,929 ","$6,693,975,539 "
Gangs,270,"$4,113,401,089 ","$9,755,725,534 "
Medical and Hospitals,265,"$2,876,156,502 ","$7,615,147,098 "
Terminal Illness,261,"$3,220,702,927 ","$8,013,003,098 "
Fugitive / On the Run,259,"$8,783,345,931 ","$20,481,023,425 "
Serial Killer,257,"$2,803,660,027 ","$5,717,475,390 "
Agitprop,256,"$734,573,292 ","$1,190,645,524 "
Corrupt Cops,256,"$5,394,242,582 ","$11,217,088,907 "
Death of a Spouse or Fiancée / Fiancé,256,"$6,816,363,497 ","$16,309,481,409 "
Rescue,255,"$12,604,464,787 ","$32,600,859,517 "
Ensemble,252,"$14,496,373,573 ","$36,892,093,365 "
Artists,251,"$1,235,346,163 ","$3,777,585,229 "
3-D - Shot in 3-D,248,"$22,948,499,427 ","$65,458,342,154 "
Visual Effects,246,"$33,347,958,799 ","$84,084,437,636 "
Terrorism,243,"$7,512,775,795 ","$19,914,165,893 "
Bollywood,242,"$204,731,865 ","$2,371,342,128 "
Inspired by a True Story,241,"$4,536,325,316 ","$10,763,180,683 "
Death of a Son or Daughter,240,"$4,530,820,205 ","$11,137,083,437 "
Movie Business,240,"$2,151,360,201 ","$4,402,549,602 "
Christmas,238,"$4,101,677,377 ","$6,872,352,797 "
Heist,234,"$5,555,224,400 ","$13,769,582,027 "
Set in New York City,234,"$4,018,252,059 ","$10,356,328,671 "
1980s,229,"$4,156,180,300 ","$10,214,890,070 "
Love Triangle,229,"$3,997,016,263 ","$9,782,598,281 "
1970s,226,"$2,202,035,671 ","$5,546,809,181 "
Talking Animals,226,"$16,902,346,354 ","$43,534,756,600 "
Epilogue,221,"$11,280,064,167 ","$27,685,494,760 "
Government Corruption,217,"$6,493,256,664 ","$15,798,975,179 "
3-D - Post-production Conversion,215,"$33,003,545,661 ","$93,986,162,786 "
Haunting,215,"$4,261,178,805 ","$9,344,302,523 "
Hitmen,215,"$5,339,204,900 ","$12,935,083,457 "
Prostitution,211,"$1,903,264,450 ","$4,109,603,980 "
Martial Arts,206,"$4,230,476,400 ","$12,350,972,351 "
Gratuitous Cameos,200,"$15,082,353,883 ","$34,524,690,263 "
Delayed Adulthood,198,"$2,735,702,252 ","$5,037,158,067 "
Bigotry,187,"$2,676,109,353 ","$5,541,692,288 "
Performing Arts,187,"$2,447,346,972 ","$4,479,743,226 "
Food,185,"$2,402,131,414 ","$5,175,586,118 "
Mafia,183,"$4,134,657,330 ","$6,929,117,183 "
1960s,182,"$2,340,782,178 ","$5,830,906,081 "
Prison,180,"$2,620,395,240 ","$6,055,073,821 "
1990s,179,"$4,498,610,583 ","$11,195,892,362 "
Slasher Horror,178,"$3,134,764,079 ","$5,205,056,309 "
Life on the Outside,177,"$1,966,611,174 ","$5,343,091,219 "
Internet,175,"$1,420,983,831 ","$3,719,450,549 "
Immigration,173,"$1,543,479,517 ","$4,669,971,548 "
Secret Agent,173,"$10,127,073,834 ","$27,518,245,696 "
Faulty Memory,172,"$7,547,679,144 ","$19,081,350,429 "
Orphan,171,"$5,237,519,049 ","$12,817,587,387 "
Set in Los Angeles,168,"$2,013,733,310 ","$3,726,614,933 "
Set in New York,168,"$3,391,996,488 ","$6,550,342,455 "
College,165,"$3,222,499,254 ","$5,688,111,005 "
Missing Person,165,"$2,097,929,634 ","$5,305,198,189 "
Bullies,162,"$2,843,580,196 ","$5,919,665,128 "
Family Movie,160,"$8,002,634,844 ","$18,357,235,511 "
Environment,159,"$2,306,713,189 ","$7,767,905,532 "
Music Industry,159,"$2,302,586,977 ","$4,844,054,017 "
Rock 'n' Roll,156,"$1,061,100,337 ","$2,141,840,095 "
Poverty,154,"$1,194,723,743 ","$3,674,092,435 "
Faith-Based Film,152,"$1,519,412,248 ","$2,067,383,041 "
Hood Film,152,"$2,714,083,887 ","$3,483,036,803 "
Single Parent,151,"$2,224,071,546 ","$4,878,117,531 "
Jewish,149,"$508,240,781 ","$1,267,163,312 "
Singers,149,"$2,571,553,627 ","$5,336,295,848 "
Dancing,148,"$2,138,643,949 ","$4,638,658,290 "
Time Travel,148,"$6,833,198,578 ","$18,065,205,227 "
TV Premiere,148,"$977,007 ","$32,375,959 "
Archive Footage,147,"$472,485,247 ","$918,734,839 "
Corporate Malfeasance,147,"$4,226,278,265 ","$11,317,210,710 "
Horror Comedy,146,"$1,573,418,912 ","$2,660,306,886 "
1940s,145,"$919,745,423 ","$2,581,511,778 "
Demons,145,"$2,755,804,333 ","$8,122,437,117 "
Dream Sequence,145,"$5,290,180,386 ","$13,532,003,250 "
Monster,145,"$5,508,528,877 ","$15,378,670,093 "
Segments,145,"$624,455,160 ","$1,306,373,795 "
Money Troubles,144,"$2,445,456,485 ","$5,811,719,097 "
Accidental Death,142,"$1,064,085,502 ","$2,909,198,887 "
Scene in End Credits,141,"$11,225,976,357 ","$29,014,007,040 "
Undercover,140,"$5,880,971,314 ","$13,023,997,296 "
Depression,139,"$1,440,699,504 ","$3,124,168,012 "
Anime,137,"$472,955,093 ","$3,713,527,422 "
Delayed Sequel,136,"$10,108,128,007 ","$25,468,400,573 "
Vampire,136,"$4,114,241,505 ","$9,929,741,876 "
Post Apocalypse,133,"$4,710,530,110 ","$13,374,102,735 "
Remake,133,"$4,526,157,816 ","$11,144,404,194 "
Autumn Years,132,"$1,254,683,055 ","$2,798,556,615 "
Culture Clash,132,"$3,362,278,337 ","$7,005,292,341 "
Fired,130,"$2,673,463,687 ","$6,322,366,292 "
Motion Capture Performance,130,"$24,879,103,479 ","$68,185,894,336 "
Set in France,130,"$1,064,354,294 ","$3,159,532,112 "
Mid-Life Crisis,128,"$2,208,636,744 ","$5,046,518,233 "
Breaking the Fourth Wall,127,"$4,814,123,417 ","$9,370,282,971 "
Gambling,127,"$3,462,869,134 ","$7,806,413,403 "
Zombies,127,"$1,906,664,827 ","$5,384,462,124 "
Police Procedural,126,"$1,496,948,550 ","$3,978,618,722 "
Royalty,125,"$7,325,408,777 ","$20,620,845,938 "
Disaster,122,"$4,886,229,276 ","$15,475,227,884 "
Crime Thriller,121,"$2,130,695,394 ","$4,368,327,827 "
Lawyers,121,"$2,607,723,175 ","$5,165,286,776 "
"Same Actor, Multiple Roles",121,"$5,799,357,252 ","$13,147,567,492 "
Sundance Film Festival 2020,121,"$14,565,948 ","$24,406,793 "
Widow/Widower,121,"$2,172,939,174 ","$4,160,792,697 "
Historical Drama,119,"$3,561,893,224 ","$8,166,678,713 "
Robot,118,"$10,894,527,038 ","$28,837,722,186 "
Possessed,115,"$2,897,814,503 ","$6,100,794,275 "
Death of a Sibling,114,"$4,648,706,548 ","$12,453,078,073 "
Spoof,114,"$3,518,646,189 ","$6,160,040,112 "
Doctors,113,"$985,124,270 ","$2,589,149,879 "
Alien Invasion,112,"$7,147,047,815 ","$19,367,861,347 "
False Identity,112,"$3,952,285,236 ","$9,794,410,479 "
High School,112,"$2,482,401,170 ","$5,166,724,492 "
Car Accident,111,"$1,954,790,668 ","$4,980,590,315 "
Hallucinations,111,"$4,285,778,630 ","$11,293,821,659 "
Cancer,110,"$1,022,093,979 ","$3,214,673,987 "
Twins,110,"$4,084,765,501 ","$11,280,990,939 "
2000s,108,"$3,263,247,726 ","$7,438,108,814 "
Returning Soldiers,108,"$1,358,938,408 ","$2,858,117,291 "
Set in India,108,"$691,293,186 ","$3,513,428,049 "
2010s,107,"$574,423,175 ","$1,202,223,668 "
Development Hell,106,"$6,406,317,066 ","$16,883,069,428 "
Boxing,104,"$1,642,534,359 ","$3,092,123,260 "
Family Affair,104,"$3,184,269,760 ","$7,081,520,043 "
Psychological Thriller,104,"$3,305,021,930 ","$6,926,736,243 "
Unnamed Character,104,"$1,698,314,239 ","$4,023,527,662 "
Interracial Romance,103,"$1,240,552,350 ","$1,985,642,976 "
Confidence Men,101,"$2,244,320,006 ","$4,276,062,590 "
